,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
386,mazagao,100,EG,1639786504,55,24.0934,32.907,286.01,4.21
387,mazagao,16,IN,1639786505,70,18.0333,73.0167,294.67,2.6
388,mazagao,100,AU,1639786505,66,-33.2667,115.7167,291.51,7.93
389,mazagao,78,BR,1639786506,92,-21.9925,-48.3908,296.14,2.42
390,mazagao,97,LK,1639786507,90,6.4788,79.9828,297.23,1.85
391,mazagao,1,US,1639786402,31,40.6957,-73.3257,286.14,0.89
392,mazagao,100,PH,1639786509,81,14.3122,121.1114,300.99,6.73
393,mazagao,13,MU,1639786511,76,-20.2078,57.7625,297.21,2.41
394,mazagao,77,ET,1639786511,57,10.7,37.0667,288.37,1.96
395,mazagao,99,ID,1639786512,85,1.1667,108.9667,299.17,0.89
396,mazagao,50,GH,1639786513,77,5.7947,0.8973,301.27,2.71
397,mazagao,2,AI,1639786515,71,18.217,-63.0578,299.87,10.99
398,mazagao,0,CN,1639786353,30,32.0617,118.7778,274.69,0.74
399,mazagao,97,JP,1639786517,63,28.3667,129.4833,284.66,7.04
400,mazagao,90,US,1639786517,93,64.5011,-165.4064,271.19,7.72
401,mazagao,2,IT,1639786518,10,43.4365,13.6613,282.21,1.17
402,mazagao,100,LK,1639786519,88,5.9485,80.5353,297.84,0.65
403,mazagao,37,HR,1639786520,83,45.3392,14.3083,281.53,2.67
404,mazagao,100,AU,1639786521,64,-13.8483,136.4192,303.56,2.63
405,mazagao,35,AR,1639786521,47,-26.7852,-60.4388,298.79,3.34
406,mazagao,84,ID,1639786522,78,-1.3959,120.7524,300.99,0.98
407,mazagao,95,MN,1639786523,66,48.0056,91.6419,260.33,2.65
408,mazagao,75,ET,1639786524,53,10.0667,34.5333,290.94,1.85
409,mazagao,90,IR,1639786495,100,38.08,46.2919,274.85,0
410,mazagao,92,MV,1639786525,74,2.6708,72.8944,301.1,4.31
411,mazagao,78,PG,1639786526,75,-3.6667,152.4333,301.76,2.51
412,mazagao,30,TZ,1639786527,95,-6.35,36.4833,291.92,1.6
413,mazagao,11,RE,1639786527,89,-21.15,55.2833,295.63,0.16
414,mazagao,100,RU,1639786588,70,56.45,138.1667,251.48,4.43
415,mazagao,17,RU,1639786589,89,59.2353,163.0719,250.4,2.49
416,mazagao,90,US,1639786589,81,30.7621,-86.5705,295.35,1.79
417,mazagao,100,DE,1639786590,98,52.2833,8.9167,281.49,2.06
418,mazagao,100,CA,1639786591,79,66.1451,-65.7125,268.12,9.85
419,mazagao,95,MV,1639786592,74,2.9167,73.5667,301.3,4.44
420,mazagao,97,PH,1639786592,83,10.9995,122.6711,299.53,0.72
421,mazagao,100,NO,1639786593,79,67.667,12.6934,279.67,13.6
422,mazagao,100,CA,1639786594,99,51.95,-102.6677,254.08,1.13
423,mazagao,81,RU,1639786595,80,48.6333,142.8,257.85,5.42
424,mazagao,22,JM,1639786596,79,18.451,-78.1736,300.07,5.08
425,mazagao,97,KZ,1639786597,87,48.5872,57.1869,269.28,2.93
426,mazagao,99,BR,1639786598,92,-3.6667,-45.38,297.68,1.47
427,mazagao,16,NZ,1639786599,58,-35.1667,173.1667,293.32,6.33
428,mazagao,9,AR,1639786563,54,-31.4241,-64.4978,295.75,1.79
429,mazagao,100,TZ,1639786600,92,-6.7167,32.0667,291.07,0.39
430,mazagao,3,YE,1639786601,81,14.4,46.4667,288.46,2.12
431,mazagao,6,CN,1639786602,50,33.2288,105.0179,269.38,1.74
432,mazagao,90,IS,1639786603,100,63.8424,-22.4338,277.41,3.6
433,mazagao,40,CA,1639786603,84,60.7161,-135.0538,251.58,1.03
434,mazagao,24,KM,1639786605,81,-11.3847,43.2844,299.75,2.94
435,mazagao,55,JO,1639786605,90,30.3222,35.4793,278.87,3.98
436,mazagao,90,US,1639786515,92,58.3019,-134.4197,271.18,0
437,mazagao,100,MX,1639786607,46,28.2167,-106.5833,287.59,7.43
438,mazagao,90,CA,1639786514,96,47.6666,-52.7314,275.14,19.55
439,mazagao,18,PL,1639786608,93,53.8282,22.3647,273.29,4.05
440,mazagao,1,US,1639786609,34,36.108,-115.245,284.5,0.89
441,mazagao,75,AR,1639786390,74,-26.8241,-65.2226,300.15,1.54
442,mazagao,100,RU,1639786610,98,66.4167,112.4,238.44,1.44
443,mazagao,100,NO,1639786611,88,70.8578,29.0864,271.32,8.25
444,mazagao,98,BR,1639786612,98,-6.6447,-51.995,296.06,0.94
445,mazagao,90,US,1639786612,62,46.6811,-68.0159,275.53,4.02
446,mazagao,35,RU,1639786613,79,56.9064,118.2631,246.79,0.7
447,mazagao,78,US,1639786614,90,30.1775,-81.3876,295.29,3.34
448,mazagao,99,ID,1639786615,82,-8.345,113.6058,300.08,0.77
449,mazagao,100,IR,1639786615,97,33.535,47.6061,282.49,4.11
450,mazagao,100,BR,1639786616,98,-4.2761,-55.9836,297.18,0.23
451,mazagao,45,AO,1639786617,82,-12.5763,13.4055,296.68,1.09
452,mazagao,100,RU,1639786617,93,57.3064,88.1667,267.89,4.62
453,mazagao,100,ML,1639786618,20,22.6783,-3.9836,299.33,2.06
454,mazagao,0,IN,1639786619,39,25.8,78.1167,282.09,2.56
455,mazagao,0,CN,1639786620,61,38.4167,77.2406,267.16,0.88
